iter	MultiClass
0	2.057713715
1	1.906086238
2	1.793159554
3	1.705716088
4	1.635165602
5	1.576867095
6	1.529547893
7	1.488559689
8	1.452014253
9	1.420203511
10	1.392624104
11	1.369615754
12	1.348187044
13	1.330975439
14	1.314073926
15	1.300117923
16	1.286787791
17	1.27653772
18	1.266666578
19	1.258171853
20	1.249874633
21	1.241670713
22	1.236884398
23	1.229642131
24	1.223697676
25	1.218382185
26	1.212781917
27	1.208104461
28	1.205191329
29	1.201103259
30	1.198157662
31	1.194012981
32	1.191676147
33	1.189449253
34	1.186363143
35	1.183283329
36	1.180441997
37	1.177760884
38	1.175238926
39	1.172694483
40	1.170860155
41	1.169263515
42	1.167755025
43	1.166375262
44	1.164824001
45	1.163240403
46	1.161650065
47	1.159797494
48	1.158334734
49	1.156741002
50	1.155762817
51	1.154671393
52	1.153249579
53	1.151908654
54	1.150710799
55	1.1500076
56	1.14910162
57	1.148236736
58	1.147154602
59	1.145868482
60	1.144617021
61	1.143870018
62	1.142751858
63	1.141912034
64	1.141120596
65	1.140184062
66	1.139248304
67	1.138045559
68	1.13737747
69	1.136840248
70	1.135762537
71	1.134554962
72	1.134089145
73	1.133278528
74	1.132752504
75	1.131916742
76	1.130999889
77	1.130497877
78	1.129589149
79	1.128587179
80	1.127725217
81	1.127153271
82	1.125940023
83	1.125418193
84	1.125012299
85	1.124299649
86	1.123312924
87	1.122825301
88	1.122072277
89	1.121196292
90	1.120651672
91	1.119901618
92	1.119153117
93	1.118578155
94	1.117818906
95	1.117490997
96	1.116816876
97	1.116247496
98	1.115826866
99	1.114930936
