iter	Passed	Remaining
0	80	7958
1	186	9145
2	268	8689
3	372	8938
4	451	8575
5	564	8839
6	650	8637
7	767	8821
8	858	8684
9	965	8692
10	1050	8502
11	1149	8429
12	1259	8431
13	1384	8502
14	1467	8316
15	1551	8143
16	1635	7984
17	1767	8051
18	1886	8040
19	1969	7877
20	2051	7717
21	2133	7564
22	2224	7445
23	2310	7315
24	2412	7238
25	2496	7104
26	2583	6985
27	2673	6874
28	2801	6857
29	2910	6792
30	2992	6659
31	3074	6532
32	3154	6405
33	3254	6316
34	3420	6352
35	3505	6232
36	3587	6108
37	3672	5991
38	3755	5873
39	3839	5759
40	3921	5643
41	4002	5527
42	4085	5415
43	4211	5360
44	4297	5252
45	4381	5143
46	4462	5032
47	4544	4922
48	4625	4814
49	4712	4712
50	4797	4609
51	4879	4504
52	4966	4404
53	5058	4308
54	5143	4207
55	5223	4104
56	5323	4015
57	5414	3921
58	5519	3835
59	5601	3734
60	5683	3633
61	5767	3534
62	5866	3445
63	5954	3349
64	6081	3274
65	6230	3209
66	6331	3118
67	6416	3019
68	6524	2931
69	6651	2850
70	6741	2753
71	6862	2668
72	6974	2579
73	7068	2483
74	7155	2385
75	7250	2289
76	7344	2193
77	7430	2095
78	7511	1996
79	7593	1898
80	7676	1800
81	7760	1703
82	7845	1606
83	7954	1515
84	8075	1425
85	8158	1328
86	8253	1233
87	8348	1138
88	8433	1042
89	8515	946
90	8597	850
91	8678	754
92	8763	659
93	8890	567
94	9011	474
95	9100	379
96	9185	284
97	9267	189
98	9371	94
99	9482	0
