,user_id,location,age
435,259223,"twin falls, idaho, idaho, usa",82.0
762,14387,"coalville, leicestershire, england, united kingdom",35.0
940,38464,"tharston, norwich, england, united kingdom",33.0
1026,51856,"wichita,, kansas, usa",59.0
1044,53688,"paris, france, ile de france, france",28.0
1207,75842,"chicago, il, illinois, usa",42.0
1530,126296,"ramsey, huntingdon, cambridgeshire, united kingdom",41.0
1580,133435,"statesville,, north carolina, usa",40.0
1761,163776,"barboursville,, virginia, usa",29.0
1965,196146,"silsden, keighley, england, united kingdom",38.0
2020,205019,"aladinma, imo state, n/a, nigeria",29.0
2943,258270,"fpo, ap, okinawa, japan",
3003,212965,"akron,, ohio, usa",43.0
3250,120080,"preston, lancashire, england, united kingdom",32.0
3553,192292,"4729 pepperwood ave, long beach, ca, usa",
3674,120093,"merrick, acworth, new york, georgia, usa",59.0
4089,214138,"lakeland,, florida, usa",79.0
4579,111444,"washington, dc, dc, usa",
4835,70999,"hauppauge, long island, new york, usa",57.0
5062,243338,"vic, barcelona, catalunya, spain",27.0
5251,257701,"hoodsport, washington, washington, usa",
5480,32289,"rochester hills, michigan, michigan, usa",64.0
5627,220757,"la grange park, il, illinois, usa",36.0
5807,264646,"atwater, ca. 95301, california, usa",58.0
6035,193750,"pasadena,maryland, maryland, usa",49.0
6129,123047,"st. margarets, twickenham, middlesex, united kingdom",50.0
6282,121184,"apo, yongsan-gu, seoul, south korea",
6365,10959,"romulus, mi, michigan, usa",57.0
6581,194225,"council bluffs, ia, iowa, usa",
6673,274004,"sydenham, london, england, united kingdom",41.0
7009,24100,"germantown, md, maryland, usa",31.0
7258,18012,"us airforce, naval air station keflavik, iceland, iceland",24.0
7432,86365,"walkerton, ontario, ontario, canada",
7594,163349,"hammonton, nj  08037, new jersey, usa",50.0
8038,217097,"plano,, texas, usa",
8350,257548,"ray, michigan usa, ,",45.0
8735,244891,"washington, dc, dc, usa",
9275,247609,"hamilton, waikato,, new zealand",
9570,188129,"lincoln city,or, oregon, usa",
9699,139636,"georgetown, penang,, malaysia",22.0
10309,263321,"miami, fl 33157, florida, usa",61.0
10664,101546,"the dalles, or, oregon, usa",64.0
10726,266613,"washington, d.c., dc, usa",
10902,196891,"quinton,, virginia, usa",63.0
11384,261819,"mansfield,, texas, usa",35.0
11814,6238,"silsden, keighley, west yorkshire, united kingdom",38.0
12016,52768,"clayton,, new mexico, usa",
12474,164048,"guadalajara, jalisco,, mexico",17.0
12568,225435,"lawrence, ks, usa, kansas, usa",
13289,47782,"yuba city, ca, california, usa",
13837,190523,"kincardine,, ontario, canada",63.0
13874,107187,"surrey, b. c., british columbia, canada",69.0
13978,276307,"richmond, london, england, united kingdom",35.0
13980,49180,"330 eureka canyon, corralitos, ca., usa",
14003,53790,"bronx, ny, new york, usa",
14445,108773,"él médano, santa cruz de tenerife, canary islands, spain",57.0
14882,212502,"lantana,, florida, usa",
15179,110056,"south pasadena,, california, usa",
15546,137584,"superior, wi, ,",
15567,170645,"tellico plains, tn, tennessee, usa",41.0
15733,74577,"knoxville, tn, tennessee, usa",23.0
15977,222053,"kilquiggan, tullow, co. carlow, ireland",53.0
16171,158746,"richmond, va, virginia, usa",52.0
16252,109372,"coral springs,, florida, usa",34.0
16352,266470,"oklahoma city,, oklahoma, usa",49.0
16394,264346,"north rode, cheshire, england, united kingdom",43.0
16689,134120,"west chicago,, illinois, usa",44.0
16829,119785,"austin, tx, texas, usa",65.0
17056,27838,"new haven,, connecticut, usa",
17140,12513,"nanaimo, bc, v9v 1h4, british columbia, canada",
17202,154824,"washington, dc, dc, usa",32.0
17346,167766,"albuquerque,, new mexico, usa",
18135,97972,"dorking, surrey, england, united kingdom",21.0
18429,63620,"indianapolis, in, indiana, usa",70.0
18899,205975,"the woodlands,, texas, usa",
18969,57304,"winfield, ab, alberta, canada",46.0
19261,228020,"crete,town of bali, \n/a\"", greece""",
19312,131560,"columbus, ohio, ohio, usa",
19597,61774,"laingsburg,, michigan, usa",
19814,121368,"1110 lynnwood blvd., nashville, tn, usa",48.0
19920,39134,"sunnyvale,, california, usa",70.0
20165,181864,"east rochester,new york, new york, usa",
20220,82483,"st. petersburg,, florida, usa",60.0
20725,64316,"ermington, s. devon, england, united kingdom",21.0
21120,88599,"waitakere, auckland, auckland, new zealand",
21364,96037,"georgetown,, massachusetts, usa",
21545,196527,"roma, ,, italy",61.0
21740,95337,"palatine, il, illinois, usa",36.0
21817,1830,"kidderminster, worcestershire, england, united kingdom",54.0
22132,187961,"aylesbury, buckinghamshire, uk, united kingdom",
22571,98293,"cloverdale,, oregon, usa",
22851,272482,"amora, estremadura,, portugal",40.0
22968,180120,"annandale,, virginia, usa",53.0
23288,28700,"beaverton,, ,",61.0
23313,259495,"fort myers,, florida, usa",48.0
23464,222190,"vancouver, bc,, british columbia, canada",
24084,73301,"madison,tn, tennessee, usa",
24114,62856,"taunton, somerset, england, united kingdom",
25118,231979,"west vancouver,, british columbia, canada",
25401,151064,"richmond, va, virginia, usa",
25661,184394,"london, other, obviously, united kingdom",34.0
25759,125989,"washington, dc, dc, usa",
26305,177449,"osage beach,, missouri, usa",
26451,182381,"palo alto,, california, usa",70.0
26821,36945,"helsinki, death rockin mekka, etelä-suomi, finland",
27161,65890,"paso robles, ca, california, usa",
27187,187035,"washington, d.c., ,",
27865,120549,"mindelo, são vicente,, cape verde",32.0
27905,57294,"york, york, north yorkshire, united kingdom",39.0
27974,107416,"singapore, jakarta, singapore, singapore",22.0
28091,63918,"melfort,, saskatchewan, canada",57.0
28093,70740,"-, st andrew`s, guernsey, channel islands",
28272,123017,"sarasota, fl, florida, usa",
28523,273439,"chiclana, cadiz, andalucia, spain",63.0
28526,272220,"duluth, ga, georgia, usa",
28654,44073,"desert hot springs, ca, california, usa",
28681,144771,"casey,il, illinois, usa",62.0
29191,161238,"st, louis, missouri, usa",48.0
29384,88642,"sioux falls,, south dakota, usa",58.0
29738,149163,"penacook, nh, new hampshire, usa",
29874,163155,"seelze, dedensen, niedersachsen, germany",
30341,172847,"washington, d.c., district of columbia, usa",
30570,30321,"wyoming,, michigan, usa",
30577,68947,"portland,or, oregon, usa",
30974,242828,"pigeon point road, tobago, west indies, tobago",55.0
31008,115690,"prince george, bc, british columbia, canada",22.0
31035,275022,"berkeley,, california, usa",
31463,77502,"washington, dc, dc, usa",
31475,270939,"minneapolis, mn, minnesota, usa",
32095,44935,"chelsfield, kent, england, united kingdom",
33091,165198,"burnaby, bc, british columbia, canada",23.0
33350,218664,"summersville,, ,",
33541,144851,"kelowna,, british columbia, canada",49.0
33658,26359,"bonny doon, california, california, usa",
33851,102760,"putnam, ct., connecticut, usa",63.0
33977,49360,"lisbon, oeiras, oeiras, portugal",32.0
34694,87386,"salisbury, wiltshire,, united kingdom",
35005,3947,"volente,tx, texas, usa",
35053,84021,"austin, texas, texas, usa",58.0
35169,240626,"palmdale, ca, california, usa",39.0
35313,25970,"newtown, ct, ,",
35364,4057,"richmond, north yorkshire, england, united kingdom",
35390,118746,"mandaluyong city,, metro manila, philippines",29.0
35412,92208,"claremont meadows, sydney, new south wales, australia",33.0
36282,248989,"perth, western australia, australia, australia",61.0
36698,67743,"yate, bristol, england, united kingdom",50.0
