,user_id,location,age
0,259223,"twin falls, idaho, idaho, usa",82.0
1,14387,"coalville, leicestershire, england, united kingdom",35.0
2,38464,"tharston, norwich, england, united kingdom",33.0
3,51856,"wichita,, kansas, usa",59.0
4,53688,"paris, france, ile de france, france",28.0
5,75842,"chicago, il, illinois, usa",42.0
6,126296,"ramsey, huntingdon, cambridgeshire, united kingdom",41.0
7,133435,"statesville,, north carolina, usa",40.0
8,163776,"barboursville,, virginia, usa",29.0
9,196146,"silsden, keighley, england, united kingdom",38.0
10,205019,"aladinma, imo state, n/a, nigeria",29.0
11,258270,"fpo, ap, okinawa, japan",
12,212965,"akron,, ohio, usa",43.0
13,120080,"preston, lancashire, england, united kingdom",32.0
14,192292,"4729 pepperwood ave, long beach, ca, usa",
15,120093,"merrick, acworth, new york, georgia, usa",59.0
16,214138,"lakeland,, florida, usa",79.0
17,111444,"washington, dc, dc, usa",
18,70999,"hauppauge, long island, new york, usa",57.0
19,243338,"vic, barcelona, catalunya, spain",27.0
20,257701,"hoodsport, washington, washington, usa",
21,32289,"rochester hills, michigan, michigan, usa",64.0
22,220757,"la grange park, il, illinois, usa",36.0
23,264646,"atwater, ca. 95301, california, usa",58.0
24,193750,"pasadena,maryland, maryland, usa",49.0
25,123047,"st. margarets, twickenham, middlesex, united kingdom",50.0
26,121184,"apo, yongsan-gu, seoul, south korea",
27,10959,"romulus, mi, michigan, usa",57.0
28,194225,"council bluffs, ia, iowa, usa",
29,274004,"sydenham, london, england, united kingdom",41.0
30,24100,"germantown, md, maryland, usa",31.0
31,18012,"us airforce, naval air station keflavik, iceland, iceland",24.0
32,86365,"walkerton, ontario, ontario, canada",
33,163349,"hammonton, nj  08037, new jersey, usa",50.0
34,217097,"plano,, texas, usa",
35,257548,"ray, michigan usa, ,",45.0
36,244891,"washington, dc, dc, usa",
37,247609,"hamilton, waikato,, new zealand",
38,188129,"lincoln city,or, oregon, usa",
39,139636,"georgetown, penang,, malaysia",22.0
40,263321,"miami, fl 33157, florida, usa",61.0
41,101546,"the dalles, or, oregon, usa",64.0
42,266613,"washington, d.c., dc, usa",
43,196891,"quinton,, virginia, usa",63.0
44,261819,"mansfield,, texas, usa",35.0
45,6238,"silsden, keighley, west yorkshire, united kingdom",38.0
46,52768,"clayton,, new mexico, usa",
47,164048,"guadalajara, jalisco,, mexico",17.0
48,225435,"lawrence, ks, usa, kansas, usa",
49,47782,"yuba city, ca, california, usa",
50,190523,"kincardine,, ontario, canada",63.0
51,107187,"surrey, b. c., british columbia, canada",69.0
52,276307,"richmond, london, england, united kingdom",35.0
53,49180,"330 eureka canyon, corralitos, ca., usa",
54,53790,"bronx, ny, new york, usa",
55,108773,"él médano, santa cruz de tenerife, canary islands, spain",57.0
56,212502,"lantana,, florida, usa",
57,110056,"south pasadena,, california, usa",
58,137584,"superior, wi, ,",
59,170645,"tellico plains, tn, tennessee, usa",41.0
60,74577,"knoxville, tn, tennessee, usa",23.0
61,222053,"kilquiggan, tullow, co. carlow, ireland",53.0
62,158746,"richmond, va, virginia, usa",52.0
63,109372,"coral springs,, florida, usa",34.0
64,266470,"oklahoma city,, oklahoma, usa",49.0
65,264346,"north rode, cheshire, england, united kingdom",43.0
66,134120,"west chicago,, illinois, usa",44.0
