user_id,location
259223,"twin falls, idaho, usa"
14387,"coalville, leicestershire, united kingdom"
38464,"tharston, norwich, united kingdom"
53688,"paris, ile de france, france"
75842,"chicago, illinois, usa"
126296,"huntingdon, cambridgeshire, united kingdom"
196146,"silsden, keighley, united kingdom"
205019,"aladinma, imo state, nigeria"
258270,"okinawa, n/a, japan"
120080,"preston, lancashire, united kingdom"
192292,"long beach, california, usa"
120093,"acworth, georgia, usa"
111444,"washington, n/a, usa"
70999,"long island, new york, usa"
243338,"barcelona, catalunya, spain"
257701,"washington, n/a, usa"
32289,"rochester hills, michigan, usa"
220757,"la grange park, illinois, usa"
264646,"atwater, california, usa"
193750,"pasadena, maryland, usa"
123047,"twickenham, london, united kingdom"
121184,"seoul, n/a, south korea"
10959,"romulus, michigan, usa"
194225,"council bluffs, iowa, usa"
274004,"sydenham, london, united kingdom"
24100,"germantown, maryland, usa"
18012,"naval air station keflavik, iceland, iceland"
86365,"walkerton, ontario, canada"
163349,"hammonton, new jersey, usa"
257548,"ray, michigan, usa"
244891,"washington, n/a, usa"
188129,"lincoln city, oregon, usa"
263321,"miami, florida, usa"
101546,"the dalles, oregon, usa"
266613,"washington, n/a, usa"
6238,"keighley, west yorkshire, united kingdom"
225435,"lawrence, kansas, usa"
47782,"yuba city, california, usa"
107187,"surrey, british columbia, canada"
276307,"richmond, london, united kingdom"
49180,"corralitos, california, usa"
53790,"bronx, new york, usa"
108773,"santa cruz de tenerife, canary islands, spain"
137584,"superior, wisconsin, usa"
170645,"tellico plains, tennessee, usa"
74577,"knoxville, tennessee, usa"
222053,"carlow, leinster, ireland"
158746,"richmond, virginia, usa"
264346,"north rode, cheshire, united kingdom"
119785,"austin, texas, usa"
12513,"nanaimo, british columbia, canada"
154824,"washington, n/a, usa"
97972,"dorking, surrey, united kingdom"
63620,"indianapolis, indiana, usa"
57304,"winfield, alberta, canada"
228020,"crete, town of bali, greece"
131560,"columbus, ohio, usa"
121368,"nashville, tennessee, usa"
181864,"rochester, new york, usa"
64316,"ermington, s. devon, united kingdom"
88599,"waitakere, auckland, new zealand"
95337,"palatine, illinois, usa"
1830,"kidderminster, worcestershire, united kingdom"
187961,"aylesbury, buckinghamshire, united kingdom"
222190,"vancouver, british columbia, canada"
73301,"madison, tennessee, usa"
62856,"taunton, somerset, united kingdom"
151064,"richmond, virginia, usa"
184394,"london, england, united kingdom"
125989,"washington, n/a, usa"
36945,"helsinki, uusimaa, finland"
65890,"paso robles, california, usa"
187035,"washington, n/a, usa"
57294,"york, england, united kingdom"
107416,"singapore, singapore, singapore"
70740,"n/a, st andrew`s, guernsey"
123017,"sarasota, florida, usa"
273439,"cadiz, andalucia, spain"
272220,"duluth, georgia, usa"
44073,"desert hot springs, california, usa"
144771,"casey, illinois, usa"
161238,"st. louis, missouri, usa"
149163,"penacook, new hampshire, usa"
163155,"seelze, niedersachsen, germany"
