user_id,location
259223,"twin falls, idaho, idaho, usa"
14387,"coalville, leicestershire, england, united kingdom"
38464,"tharston, norwich, england, united kingdom"
53688,"paris, france, ile de france, france"
75842,"chicago, il, illinois, usa"
126296,"ramsey, huntingdon, cambridgeshire, united kingdom"
196146,"silsden, keighley, england, united kingdom"
205019,"aladinma, imo state, n/a, nigeria"
258270,"fpo, ap, okinawa, japan"
120080,"preston, lancashire, england, united kingdom"
192292,"4729 pepperwood ave, long beach, ca, usa"
120093,"merrick, acworth, new york, georgia, usa"
111444,"washington, dc, dc, usa"
70999,"hauppauge, long island, new york, usa"
243338,"vic, barcelona, catalunya, spain"
257701,"hoodsport, washington, washington, usa"
32289,"rochester hills, michigan, michigan, usa"
220757,"la grange park, il, illinois, usa"
264646,"atwater, ca. 95301, california, usa"
193750,"pasadena,maryland, maryland, usa"
123047,"st. margarets, twickenham, middlesex, united kingdom"
121184,"apo, yongsan-gu, seoul, south korea"
10959,"romulus, mi, michigan, usa"
194225,"council bluffs, ia, iowa, usa"
274004,"sydenham, london, england, united kingdom"
24100,"germantown, md, maryland, usa"
18012,"us airforce, naval air station keflavik, iceland, iceland"
86365,"walkerton, ontario, ontario, canada"
163349,"hammonton, nj  08037, new jersey, usa"
257548,"ray, michigan usa, ,"
244891,"washington, dc, dc, usa"
188129,"lincoln city,or, oregon, usa"
263321,"miami, fl 33157, florida, usa"
101546,"the dalles, or, oregon, usa"
266613,"washington, d.c., dc, usa"
6238,"silsden, keighley, west yorkshire, united kingdom"
225435,"lawrence, ks, usa, kansas, usa"
47782,"yuba city, ca, california, usa"
107187,"surrey, b. c., british columbia, canada"
276307,"richmond, london, england, united kingdom"
49180,"330 eureka canyon, corralitos, ca., usa"
53790,"bronx, ny, new york, usa"
108773,"él médano, santa cruz de tenerife, canary islands, spain"
137584,"superior, wi, ,"
170645,"tellico plains, tn, tennessee, usa"
74577,"knoxville, tn, tennessee, usa"
222053,"kilquiggan, tullow, co. carlow, ireland"
158746,"richmond, va, virginia, usa"
264346,"north rode, cheshire, england, united kingdom"
119785,"austin, tx, texas, usa"
12513,"nanaimo, bc, v9v 1h4, british columbia, canada"
154824,"washington, dc, dc, usa"
97972,"dorking, surrey, england, united kingdom"
63620,"indianapolis, in, indiana, usa"
57304,"winfield, ab, alberta, canada"
228020,"crete,town of bali, \n/a\"", greece"""
131560,"columbus, ohio, ohio, usa"
121368,"1110 lynnwood blvd., nashville, tn, usa"
181864,"east rochester,new york, new york, usa"
64316,"ermington, s. devon, england, united kingdom"
88599,"waitakere, auckland, auckland, new zealand"
95337,"palatine, il, illinois, usa"
1830,"kidderminster, worcestershire, england, united kingdom"
187961,"aylesbury, buckinghamshire, uk, united kingdom"
222190,"vancouver, bc, british columbia, canada"
73301,"madison,tn, tennessee, usa"
62856,"taunton, somerset, england, united kingdom"
151064,"richmond, va, virginia, usa"
184394,"london, other, obviously, united kingdom"
125989,"washington, dc, dc, usa"
36945,"helsinki, death rockin mekka, etelä-suomi, finland"
65890,"paso robles, ca, california, usa"
187035,"washington, d.c., ,"
57294,"york, york, north yorkshire, united kingdom"
107416,"singapore, jakarta, singapore, singapore"
70740,"-, st andrew`s, guernsey, channel islands"
123017,"sarasota, fl, florida, usa"
273439,"chiclana, cadiz, andalucia, spain"
272220,"duluth, ga, georgia, usa"
44073,"desert hot springs, ca, california, usa"
144771,"casey,il, illinois, usa"
161238,"st, louis, missouri, usa"
149163,"penacook, nh, new hampshire, usa"
163155,"seelze, dedensen, niedersachsen, germany"
172847,"washington, d.c., district of columbia, usa"
68947,"portland,or, oregon, usa"
242828,"pigeon point road, tobago, west indies, tobago"
115690,"prince george, bc, british columbia, canada"
77502,"washington, dc, dc, usa"
270939,"minneapolis, mn, minnesota, usa"
44935,"chelsfield, kent, england, united kingdom"
165198,"burnaby, bc, british columbia, canada"
26359,"bonny doon, california, california, usa"
102760,"putnam, ct., connecticut, usa"
49360,"lisbon, oeiras, oeiras, portugal"
3947,"volente,tx, texas, usa"
84021,"austin, texas, texas, usa"
240626,"palmdale, ca, california, usa"
25970,"newtown, ct, ,"
4057,"richmond, north yorkshire, england, united kingdom"
92208,"claremont meadows, sydney, new south wales, australia"
248989,"perth, western australia, australia, australia"
67743,"yate, bristol, england, united kingdom"
151764,"la eliana, valencia, n/a, spain"
212211,"the gap, brisbane, queensland, australia"
166060,"san pedro, laguna, n/a, philippines"
85109,"valoira, a estrada, pontevedra, galiza, spain"
28146,"manchester, england, n/a, united kingdom"
227354,"henderson, nevada, nevada, usa"
145642,"portland, or, oregon, usa"
232172,"decatur, ga, georgia, usa"
268819,"hanson, ma, massachusetts, usa"
135355,"gallery on the green, canton ct, connecticut, usa"
186761,"kingswells aberdeen, uk, aberdeenshire, united kingdom"
184452,"burley, nr ringwood, england, united kingdom"
81583,"sarasota, fl, ,"
277374,"tucson,az 85742, arizona, usa"
186887,"hopkins, stann creek district, belize, c.a."
210836,"upper lake, ca, california, usa"
266655,"fort wayne, in, indiana, usa"
8643,"gilbert,arizona, arizona, usa"
170709,"lex.park,md, maryland, usa"
11804,"new orleans, french quarter, ,"
220506,"pechina, almería, almería, spain"
9063,"washington, dc, dc, usa"
200878,"turlock, ca, california, usa"
203452,"rochdale, greater manchester, england, united kingdom"
139225,"kailua, oahu, hawaii, usa"
272993,"7793 burnet road, no. 24, austin, usa"
33869,"austin, tx, texas, usa"
262700,"milwaukee, wi, il, usa"
68853,"harvey, york co., new brunswick, canada"
20239,"west end, brisbane, queensland, australia"
12798,"victoria, b.c., british columbia, canada"
192674,"kent, ohio, ohio, usa"
181861,"vienna, va, virginia, usa"
166368,"tegucigalpa, mdc, francisco morazan, honduras"
212839,"falcon heights, mn, minnesota, usa"
118989,"scituate,ri,usa, rhode island, usa"
18473,"delta, ladner, british columbia, canada"
277646,"washington, dc, dc, usa"
221273,"birmingham, west midlans, uk, united kingdom"
218946,"little bay, pb, newfoundland, canada"
208714,"calico rock, arkansas, arkansas, usa"
13586,"morelia, michoacan, n/a, mexico"
160655,"grove, wantage, england, united kingdom"
46440,"upholland, west lancs, england, united kingdom"
141292,"berlin, wannsee, berlin, germany"
23325,"vitoria - gasteiz, país vasco, álava, spain"
28242,"green bay,wi., wisconsin, usa"
152762,"hagatna, guam, usa, guam"
109909,"lawford, manningtree, england, united kingdom"
47339,"orleans,ottawa, ontario, canada"
249269,"dunnellon, florida, usa, usa"
110037,"queenstown, new zealand, otago, new zealand"
225294,"alor star, alor star, kedah, malaysia"
102756,"martinez, ca, california, usa"
247288,"cannock, staffordshire, england, united kingdom"
20516,"northam, bideford, england, united kingdom"
155734,"toronto, montreal, travelling...., british columbia, canada"
21302,"march, cambridgeshire, england, united kingdom"
183922,"victoria, b.c., british columbia, canada"
21375,"beeston,  nottingham, nottinghamshire, united kingdom"
172827,"syracuse, ny, new york, usa"
80092,"wakefield, west yorkshire, england, united kingdom"
67986,"pendleton, or usa, oregon, usa"
65007,"redmond, or, oregon, usa"
142682,"colorado, springs co, colorado, usa"
52504,"new gloucester, me, maine, usa"
131411,"wellington, north island, new zealand, new zealand"
262087,"fredericton, new bru, new brunswick, canada"
269302,"deeside, flintshire, wales, united kingdom"
205060,"efland, nc 27243, north carolina, usa"
178716,"washington, dc, dc, usa"
84779,"dartmouth, nova scotia, nova scotia, canada"
202809,"kansas city, mo, missouri, usa"
235097,"milan - italy, italy, in europe, italy"
261858,"dunedin, otago, nz, new zealand"
37346,"st. paul, mn, minnesota, usa"
47711,"reading, berks, england, united kingdom"
100961,"hitchin, hertfordshire, england, united kingdom"
113433,"mobile,al, alabama, usa"
124250,"barons court, london, england, united kingdom"
189960,"penzance, cornwall, uk, united kingdom"
77462,"leduc,alberta, alberta, canada"
104942,"okla. city, ok, oklahoma, usa"
262375,"barham, barham, nsw, australia"
260075,"vienna, wien, eu, austria"
212653,"anytown, usa, anystate, usa, usa"
165754,"endicott,ny, new york, usa"
269658,"trieste, trieste, venezia giulia,italy, italy"
54776,"paris, ile de france, paris, france"
57522,"kingston, hobart, tasmania, australia"
261143,"calgary, ab, alberta, canada"
67828,"adelaide,holdfastbay, south australia, australia"
160784,"san sebastian/donostia, pais vasco, gipuzkoa, spain"
75752,"douglas, isle of man, n/a, united kingdom"
239188,"neutral bay, sydney, new south wales, australia"
105227,"méxico, d.f., disrito federal, mexico"
82167,"roseville, sydney, new south wales, australia"
171519,"casalgrande, re, ,"
232112,"alor star, alor star, kedah, malaysia"
254569,"highland park, los angeles, california, disgruntled states of america"
99631,"auburn, ca, california, usa"
254489,"prince george, bc, british columbia, canada"
115595,"pt. chevalier, auckland, n/a, new zealand"
249469,"newbury, berkshire, england, united kingdom"
262526,"milton regis, kent, england, united kingdom"
136714,"who knows, i`m on the move, usa now, the world tomorrow"
146513,"yuma, az, arizona, usa"
272337,"washington, dc, dc, usa"
150692,"skibbereen, munster, county cork, ireland"
156788,"montreal, montreal,quebec, canada"
