user_id,age,location_city,location_state,location_country
8,30.0,ontario_others,ontario,canada
11400,49.0,ontario_others,ontario,canada
11676,,,,
67544,30.0,ontario_others,ontario,canada
85526,36.0,victoria,britishcolumbia,canada
96054,29.0,ontario_others,ontario,canada
116866,30.0,ontario_others,ontario,canada
123629,30.0,ontario_others,ontario,canada
177458,29.0,ontario_others,ontario,canada
200273,30.0,ontario_others,ontario,canada
210926,30.0,ontario_others,ontario,canada
219008,60.0,halifax,novascotia,canada
263325,27.0,fredericton,newbrunswick,canada
2954,71.0,wichita,kansas,usa
152827,40.0,ontario_others,ontario,canada
35704,53.0,kansascity,missouri,usa
83160,65.0,oregoncity,oregon,usa
110912,36.0,milpitas,california,usa
137688,46.0,medford,newyork,usa
157969,30.0,denver,colorado,usa
192665,47.0,vacaville,california,usa
197659,49.0,indiana,pennsylvania,usa
208059,45.0,payson,arizona,usa
209163,26.5,columbus,ohio,usa
29526,26.0,knoxville,tennessee,usa
36836,56.0,raleigh,northcarolina,usa
46398,37.0,sanantonio,texas,usa
49300,57.5,loveland,colorado,usa
49635,31.0,seattle,washington,usa
67958,39.0,idahofalls,idaho,usa
113270,25.0,evanston,illinois,usa
113519,56.0,pleasanton,california,usa
115097,27.0,seattle,washington,usa
136509,31.0,santabarbara,california,usa
148712,45.125,homer,alaska,usa
178269,60.0,harborcity,california,usa
180297,41.0,annarbor,michigan,usa
188589,20.0,klang,selangor,malaysia
194722,33.0,dallas,texas,usa
198013,32.42857142857143,sandy,oregon,usa
200674,58.0,pittsburg,missouri,usa
207148,42.0,sandiego,california,usa
211919,38.0,jacksonville,florida,usa
212449,25.0,austin,texas,usa
213191,29.0,sandiego,california,usa
230522,52.0,coloradosprings,colorado,usa
236322,42.5,houston,texas,usa
238557,21.0,kualalumpur,selangor,malaysia
242247,42.0,livonia,michigan,usa
245827,14.0,albuquerque,newmexico,usa
248583,25.0,vancouver,britishcolumbia,canada
252282,42.0,sammamish,washington,usa
252921,22.0,renton,washington,usa
255661,34.0,parker,colorado,usa
52614,33.0,georgia_others,georgia,usa
225910,19.0,annville,pennsylvania,usa
274634,33.0,wahiawa,hawaii,usa
98499,30.0,ontario_others,ontario,canada
166596,57.0,greenwood,britishcolumbia,canada
189238,21.0,dunedin,otago,newzealand
223066,51.0,ontario_others,ontario,canada
92861,25.0,vancouver,britishcolumbia,canada
3363,29.0,knoxville,tennessee,usa
61501,30.0,ontario_others,ontario,canada
148514,42.333333333333336,barstow,california,usa
174304,26.0,stlouis,missouri,usa
177090,37.0,ashland,missouri,usa
256233,39.875,glenallen,virginia,usa
263256,28.0,knoxville,tennessee,usa
176875,31.0,tampere,pirkanmaa,finland
213915,29.0,sheffield,unitedkingdom_others,unitedkingdom
35826,,prosperity,southcarolina,usa
226745,38.0,humble,texas,usa
9,48.57142857142857,germantown,tennessee,usa
243,58.5,ardenhills,minnesota,usa
