user_id,isbn,book_title,book_author,year_of_publication,publisher,language,category,age,location_city,location_state,location_country,rating
8,0002005018,Clara Callan,Richard Bruce Wright,2001.0,Collins,en,actresses,,timmins,ontario,canada,4
8,074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002.0,Pocket,en,fiction,,timmins,ontario,canada,4
8,0887841740,The Middle Stories,Sheila Heti,2004.0,HarperBusiness,,,,timmins,ontario,canada,2
8,1552041778,Jane Doe,R. J. Kaiser,1999.0,Firefly Books Ltd,,,,timmins,ontario,canada,2
8,1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998.0,Llewellyn Publications,,,,timmins,ontario,canada,6
8,1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999.0,Kensington Publishing Corporation,en,nature,,timmins,ontario,canada,6
8,1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994.0,Houghton Mifflin Co,en,fiction,,timmins,ontario,canada,7
67544,0002005018,Clara Callan,Richard Bruce Wright,2001.0,Collins,en,actresses,30.0,toronto,ontario,canada,7
67544,0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999.0,"Little, Brown",,,30.0,toronto,ontario,canada,8
67544,0316569321,White Oleander : A Novel,Janet Fitch,1999.0,"Little, Brown",,,30.0,toronto,ontario,canada,7
